bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.373296, 0.478976)",0.42284751165443574,2264,366,766,366,766,0.5,0.32332155477031804,0.3927038626609442
"[0.478976, 0.614575)",0.5425560689043377,22206,4146,6957,4146,6957,0.5,0.37341259119156983,0.42753286929621037
"[0.614575, 0.788562)",0.6961542395110378,23120,6327,5233,6327,5233,0.5,0.547318339100346,0.5225902370529446
"[0.788562, 1.0118)",0.893236207214264,20714,7631,2726,7631,2726,0.5,0.736796369605098,0.5957297318396502
"[1.0118, 1.29825)",1.1461122788520672,18510,7465,1790,7465,1790,0.5,0.8065910318746623,0.6173247880917925
"[1.29825, 1.66578)",1.470577821550831,16312,6781,1375,6781,1375,0.5,0.8314124570868072,0.6244589741228473
"[1.66578, 2.13737)",1.8868998868097127,14518,6091,1168,6091,1168,0.5,0.8390962942554071,0.6266138573118666
"[2.13737, 2.74246)",2.421083148859008,12614,5311,996,5311,996,0.5,0.8420802283177422,0.6274440309528029
"[2.74246, 3.51885)",3.106494231445241,11118,4671,888,4671,888,0.5,0.8402590393955748,0.6269377894101067
"[3.51885, 4.51504)",3.9859458831682377,9700,4113,737,4113,737,0.5,0.8480412371134021,0.6290914652799021
"[4.51504, 5.79326)",5.1143711849593005,3074,1283,254,1283,254,0.5,0.8347430058555628,0.6253960516695102
"[5.79326, 7.43333)",6.562254828395012,134,64,3,64,3,0.5,0.9552238805970149,0.6564102564102564
